10	20	0.20532	0.34505
20	30	0.87733	1.58754
30	40	0.59458	0.00000
40	50	1.00000	0.00000
50	60	0.97913	1.04422
60	70	0.45868	0.60588
70	80	0.82231	0.37456
80	100	0.38331	0.38878
100	120	0.31529	0.40475
120	135	0.26978	0.27471
135	150	0.44814	0.22478
150	160	0.19292	0.27458
160	185	0.18540	0.41832
185	210	0.10866	1.23207
210	230	7.16567	1538.20560
230	250	0.19502	0.39639
250	270	0.75082	1.78518
270	300	0.21591	0.00465
300	330	0.22763	0.00758
330	350	0.26313	0.02452
350	370	0.35480	0.16640
370	390	0.06057	0.13290
390	420	0.34270	0.12282
420	500	0.20625	0.20248
