10	20	0.05403	0.04689
20	30	0.04885	0.02129
30	40	0.02679	0.02143
40	50	0.03387	0.02613
50	60	0.02133	0.00858
60	70	0.01695	0.01492
70	80	0.01647	0.01141
80	100	0.03823	0.21650
100	120	0.00619	0.02832
120	135	0.04807	1.55805
135	150	0.04041	0.15589
150	160	0.01738	0.01162
160	185	0.00213	0.22901
185	210	0.00899	0.18918
210	230	0.07809	0.14829
230	250	0.10736	0.16772
250	270	0.02918	0.10901
270	300	0.03328	0.06807
300	330	0.11210	0.22564
330	350	0.04154	0.22133
350	370	0.13850	0.73238
370	390	0.57042	0.40744
390	420	0.45408	0.14533
420	500	1.00000	0.00000
